cuisine,star_rating,restaurant_id,longitude,num_reviews,restaurant_name,latitude,is_closed,zip_code
"Desserts, Chocolatiers & Shops, Coffee & Tea",4.5,noZDdwtajAkMCDVFPqV19w,-71.0754537,442,L.A. Burdick Handmade Chocolates,42.3511188,0,02116
"Middle Eastern, Falafel",4.0,0OXysDMAdMzDj2iW0zacKw,-71.0578912497,234,Falafel King,42.3578462497,0,02108
"Bakeries, Cooking Classes, Macarons",4.0,4dB-7_wSXZcqUnJG0eke0w,-71.0569411,76,Finesse Pastries,42.3620005,0,02108
Ice Cream & Frozen Yogurt,4.0,2LcXz78PoN0-1RXT0pJzrw,-71.074242,1,Little G Ice Cream,42.313084,0,02125
Sandwiches,4.5,n8UR9Dbh72h8wNe3Hr4n4w,-71.1089505,3,Charles River Bread,42.3509182,0,02215
"Ramen, Thai, Vietnamese",4.5,BCJdTd2NX4sMJFZnhsu8ug,-71.126546,70,Soup Shack Brookline,42.345253,0,02446
"Barbeque, Food Trucks",4.0,MrZlHBnT7RPjtTDwaufbBg,-71.06217,42,M & M BBQ,42.32209,0,02125
"Mexican, Fast Food",3.0,rdSV94pef25c-XoYZhTldw,-71.1146642026,65,Chipotle Mexican Grill,42.3506650007,0,02215
Mediterranean,4.0,Uo6zk1gFwaw21YZ2gqlZCw,-71.101,154,Moona,42.37421,0,02139
Bubble Tea,4.0,zGg4yOxfGSzpEDQLe178Fg,-71.105729,26,Shinmio Tea,42.346821,0,02215
"Afghan, Halal, Bars",4.0,D2pEDsQBUO5GIgyT8oKUxg,-71.07801,870,Helmand Restaurant,42.36649,0,02142
"Bubble Tea, Coffee & Tea, Juice Bars & Smoothies",3.5,7uWIBEisXtqoFMhwNZsgyA,-71.0606540184,173,Kung Fu Tea,42.3505344449,0,02111
"Italian, Pizza",4.5,pksM6e_ajgLkX-mSCYxSyA,-71.05314,187,Rinas Pizzeria & Cafe,42.36488,0,02113
Sandwiches,3.0,IL1tDdW8IVxoNNnvfAnGuA,-71.048003,6,It's A Wrap,42.315821,0,02125
Thai,4.0,zqfbHraCjhS5ZOT70Svn1A,-71.07809,525,The Similans,42.366363,0,02142
"Breakfast & Brunch, Italian",4.5,I4TsMod2uKwI1ftm0fd2hQ,-71.05511,505,Theo's Cozy Corner,42.36609,0,02113
Sandwiches,2.5,aDZFoFGgT1woBhD-zkIoLA,-71.119633,27,Subway,42.372494,0,02138
"Himalayan/Nepalese, Indian",4.0,fTSKD2e4FTyUbHCl93t1ow,-71.1018218994,206,Momo N Curry,42.3821182251,0,02143
Parks,3.0,PHCYnpHeT53_Pd97ieDITg,-71.1218826253,1,Boylston Street Playground,42.3310697231,0,02445
Fast Food,2.0,uU7t02FRE7mem-OOKWospg,-71.088842,2,Outtakes,42.341134,0,02115
"Grocery, Sandwiches",4.5,tAS8f5dwti2dGlzQN4iA5A,-71.1594869464,76,Kiki's Kwik-Mart,42.3528531601,0,02135
"Bubble Tea, Juice Bars & Smoothies, Coffee & Tea",3.0,V7eaJpIk4o0J8oSaUToKKw,-71.12537,39,Kung Fu Tea,42.35253,0,02134
"Cafes, Coffee & Tea",2.5,aw5Uy32dxQzXiuYbrKEbPA,-71.08949,3,Cafe Crossing,42.33498,0,02120
"Breweries, Coffee & Tea, Beer Bar",4.0,mqDsEyybiu1yXYu3LgwbZg,-71.09797,226,Lamplighter Brewing,42.36778,0,02139
Caribbean,5.0,qT-eknMqUSCXqGNgjkaNCA,-71.0861831903,1,Hummingbird Grill,42.2997833043,0,02121
"Breakfast & Brunch, Cafes",3.0,P5Qt46I_jIDK8rXQATr-4w,-71.0575495527,80,Sebastians Café & Catering,42.3536330284,0,02110
"Coffee & Tea, Donuts",2.0,GUOOAG1ryiTTRTl7WOQ-WQ,-71.0561243,7,Dunkin',42.3422349,0,02127
Ramen,3.5,XDv29FffNd2dWnDOtZP-wg,-71.11839,632,Sapporo Ramen,42.38729,0,02140
"American (New), Breakfast & Brunch, Burgers",3.0,QvCYvbMNkRTe4UqVwmyb3w,-71.11197,590,Canary Square,42.31977,0,02130
"American (New), Seafood, Cocktail Bars",4.0,b8_a5LuSt0Gcy-TZIvDl3g,-71.07263,97,Black Lamb,42.34369,0,02118
"Fast Food, Burgers, Coffee & Tea",2.0,boZwtUjcUnUFlvpTcKolNg,-71.1677764263,47,McDonald's,42.2644513871,0,02132
"Bars, American (New), Seafood",4.0,THeSIOFvgOMoq7_iXQxFCw,-71.1442271,129,Rail Stop Restaurant & Bar,42.3569501,0,02135
"Latin American, Mexican",4.0,euwV5K1uvxL3O5zMIcLS5w,-71.13654,104,Taqueria El Carrizal,42.35323,0,02134
"Cocktail Bars, Pubs",3.5,0_Gasj4t2pH5mNvYyBDPaQ,-71.123507,109,Hamilton Restaurant & Bar,42.341899,0,02446
"Pizza, Italian",4.0,g2ynpekYnU7mkoPQKG4bFg,-71.0565643311,60,Andrew Square House of Pizza,42.330039978,0,02127
Pizza,2.5,J8q0tmKrohIw6We0shrLig,-71.0054245,35,Woody's Pizza & Liquors,42.3859444,0,02128
Thai,4.0,iVTuysN5MoDfMdapoLLW6Q,-71.085799,75,9Zaab,42.371955,0,02141
"Mexican, Cocktail Bars, Latin American",4.0,HL7Kfo9S3eKgJJAEVQ2rbw,-71.0693362674,136,Burro Bar South End,42.3415042431,0,02118
"Chinese, Taiwanese, Noodles",3.0,PWlm_xOi2fkDlKM17LcRUQ,-71.132065,236,Dumpling Kingdom,42.3520284,0,02134
"Dive Bars, Pubs",4.5,tCPxYdZVbsDooH3DQsNLqQ,-71.05837,128,The Corner Pub,42.35076,0,02111
"Beer Bar, American (Traditional)",4.0,imBg1-qcZ9Wwvw8KsQBcUg,-71.05419,109,The Ginger Man,42.35948,0,02109
"Pizza, Sandwiches",3.0,R0cvwevKVcySr1MayJvPfw,-71.0528181,40,Supreme House Of Pizza,42.3295165,0,02127
"Greek, Mediterranean, American (Traditional)",4.0,WFMlEipNxrPYArq4VSaQaw,-71.0809699,236,Desfina Restaurant,42.36753,0,02141
Pubs,3.5,vJsZxZaef_7FU6b6vOJZHA,-71.0412015,16,Shamrock Pub,42.3312718,0,02127
"Sushi Bars, Asian Fusion, Japanese",3.5,SUz38qzIzB5vg9n-SPXuYw,-71.1209277472,253,Rainbow Sushi & Asian Cuisine,42.3393591446,0,02446
"Latin American, Dominican",3.5,AbijqIXmFadzJa5rPtyp6A,-71.1374,17,Bani Restaurant,42.27829,0,02131
Landmarks & Historical Buildings,3.5,UGs6J02mK_DTxDPfrJoviw,-71.12017,160,Harvard Square,42.37325,0,02138
Restaurants,3.0,v_dyU-djAlTCtuQi56Dzog,-71.0894089,1,Fanfan Bakery West Indies Restaurant,42.2834015,0,02126
"Cafes, Coffee & Tea, Bakeries",5.0,2ioWxeyVVz9V4mTaMoOd1A,-71.108879,8,Third Cliff Bakery,42.305556,0,02130
"Pubs, American (Traditional), Pizza",3.5,Tyf0P9SMnc9Q7jXF6JO3cw,-71.0357013997,172,Kelley Square Pub,42.376201723,0,02128
Parks,4.5,lFiHisG_Cq8HtGWo-3wKwg,-71.073371,95,The Esplanade,42.357735,0,02116
"Vegan, Vegetarian",4.5,SF_bUTMRtlu1vL8QXpLZuQ,-71.118492,27,Whole Heart Provisions,42.37301,0,02138
"Pizza, American (Traditional)",3.5,iSxMx6bokjSx1c0MVWDXbQ,-71.07106,61,New Market Pizza & Grill,42.33211,0,02118
"Mexican, Fast Food, American (New)",4.0,kRRz2goOi0tzd9TTqlifQg,-71.0670942441,218,Boloco,42.3522386125,0,02116
"Salvadoran, Mexican",4.0,wetC20lL21yQeBKicut2Tg,-71.0292334,19,Cabana Grill,42.3783605,0,02128
Pizza,4.0,FPQ3Du_MLuRFtfFn-IaqAQ,-71.0383205,65,Olympic House of Pizza,42.3354605,0,02127
"Desserts, Ice Cream & Frozen Yogurt, Custom Cakes",4.0,fvuXHSkSE00DglB2-qHt5w,-71.11985,296,Honeycomb Creamery,42.3832,0,02138
"Steakhouses, Wine Bars, Breakfast & Brunch",4.0,fEKzWC1sbfZSElp46FoNag,-71.061981149,890,Mooo Restaurant,42.3583014945,0,02108
"Bars, American (New)",4.0,1Pemq90PJykugLYphPK1mQ,-71.11822,8,The Heights Harvard Restaurant & Bar,42.37299,0,02138
"Italian, Pizza, Sandwiches",3.5,jqcxn2QZjYhCPXiXOrM6Ew,-71.153831,95,Comella's,42.286285,0,02132
"Burgers, Ice Cream & Frozen Yogurt, American (Traditional)",3.0,mLd8J8zdfqOVSiARDwtYsw,-71.169679,571,Shake Shack,42.32261,0,02467
Pizza,3.0,g7TystV760QG2RXcvf-8Uw,-71.16645,74,Crazy Dough's Pizza,42.34027,0,02135
"Ice Cream & Frozen Yogurt, Bakeries, Coffee & Tea",4.5,LxVEN-q8W4qPnud5vlpUxg,-71.1141346,222,FoMu,42.314252,0,02130
"Donuts, Coffee & Tea",3.5,Yuu9iQKWuTRPPP2etY5aYw,-71.05603,25,Dunkin',42.3358,0,02127
"Italian, Cocktail Bars",3.5,m0b79jiAXpcvJXyZlu82UA,-71.1014881169,66,Orfano,42.3436005155,0,02215
Bakeries,5.0,2gOek5OeA40UR0wvm9sMEA,-71.03269,5,St Emilion Macaroon,42.36646,0,02128
Seafood,4.5,8F0UbNwdcrtmiIMeR0sU-Q,-71.0313719263,4,Yankee Lobster,42.3444233869,0,02210
"Diners, Seafood, Breakfast & Brunch",3.5,s6dpbPyJqxXWU-I2-VpSeg,-71.1089238978,240,Busy Bee Restaurant,42.3458941179,0,02446
Coffee & Tea,3.5,SkoTp2PfSCQ8AGfvSKqShg,-71.059228,39,Starbucks,42.359349,0,02108
Chinese,2.0,jL0KjoMc2fPq8whe-EVDuQ,-71.15439,146,Happy Garden Chinese,42.34929,0,02135
Parks,4.5,t6kZKcoqw1p-dPt3D_XSDg,-71.0524673,9,Rose Fitzgerald Kennedy Greenway Conservancy,42.3557396,0,02110
Seafood,3.0,eHZLtnQOjNsL1_X4TJmtOQ,-71.08712,478,Legal Sea Foods,42.36264,0,02142
"Irish, Bars, Burgers",3.5,5Ekp-L6hnnZz3-qPkNHy3g,-71.1274527378,72,Napper Tandy's,42.2873506035,0,02131
Pizza,3.5,DvP4ZL3zQDg_2oA5iqgxbw,-71.048971,43,Puritan Pizza,42.29561,0,02122
"Pizza, Chicken Wings, Sandwiches",1.5,OAnTiPy1F2BeNfpOW46ZZQ,-71.13977,43,Domino's Pizza,42.274879,0,02131
"Himalayan/Nepalese, Seafood, Buffets",4.0,M9NbVuV9rItlUyiarHaGZA,-71.12162,349,Martsa On Elm,42.395293,0,02144
"Convenience Stores, Coffee & Tea",2.0,QJaUIFmydS-ITL_--raPHw,-71.1577619612,7,7-Eleven,42.3717773265,0,02472
Museums,5.0,bIPkZfyFVR7-mDDZyxuKAQ,-71.1244568,1,Brookline Historical Society Edward Devotion House,42.3442365,0,02446
"Bakeries, Cupcakes",4.0,Yo-GBPvqxx-5mVeAlFh6MQ,-71.2739342878,126,Quebrada Baking Company,42.312840188,0,02482
"Seafood, Seafood Markets",4.5,6MdhcAPGDMMU0cCkaIEoNw,-71.0568845,186,Red's Best Seafood at the Boston Public Market,42.3619445,0,02108
Parks,4.0,Q4Z68O-MT4NO4hvFA3-CMg,-71.13556,1,Fallon Field,42.287371,0,02131
"Bakeries, Salad, Breakfast & Brunch",3.5,68p1rT55DCCaB5rIi7Jwng,-71.0967483521,498,Bloc Somerville,42.3808250427,0,02143
"Pizza, Chicken Wings, Sandwiches",2.5,oJzYcH8oFIQy4epHiNQOjw,-71.1119652025,46,Domino's Pizza,42.36971866,0,02138
"Diners, Burgers, Sandwiches",4.0,weU0q3ynxpGmM6c8x9fhaQ,-71.1050109863,37,Pat's Place,42.3344421387,0,02115
Cantonese,4.0,wOsTAvCIVjB-fPQBJepMQg,-71.0604549,333,Clay Pot Cafe,42.3504982,0,02111
"Fast Food, Mexican",2.5,EVoEVAEnNiOWi1P5OGZbdA,-71.169384,61,Taco Bell,42.267443,0,02132
Parks,3.5,yzIbSIRcW3ntrYjJ2QRYng,-71.1369548,3,Stanley Ringer Playground,42.3521704,0,02134
"Pizza, Mexican",3.0,SJOXT6kt-sotD9XSxxB-sw,-71.1074523926,54,Burritos Pizzeria,42.3061904907,0,02130
"Pizza, Italian",3.5,g54E96BkJ5qKw33v9lMFQg,-71.06557,70,Primo's Pizza Restaurant,42.3592,0,02114
"Bakeries, Sandwiches",4.0,A5qgYfVjnKP7J4KXEmgGOw,-71.0616044,146,Mei Sum,42.3515936,0,02111
Fast Food,4.0,CH9UbNl7Ohbq9N-zceOJgQ,-71.08001,15,Yelus,42.30523,0,02121
"Fast Food, Burgers, Coffee & Tea",2.5,db2bKAphF2qbl53AURLqeg,-71.058975,42,McDonald's,42.356899,0,02108
"Donuts, Coffee & Tea",4.0,k745vIMvsTaGVJs3LcqQDw,-71.1236003,4,Dunkin',42.257976,0,02136
"Seafood, Indian, Buffets",4.0,4UjU7F_EX3lgUtkzN8Bbrw,-71.12951,419,Shan-A-Punjab,42.3479699,0,02446
Mexican,4.5,3h9V7hlnPxwIJxFkOCiEuw,-71.1193218827,256,Tenoch Mexican,42.3951606452,0,02144
Coffee & Tea,3.0,EkUArSC-WXrZYjER8ZOSUQ,-71.152667,32,Starbucks,42.287273,0,02132
Italian,4.5,7_q1IsPoR25clSoigtGmeg,-71.05349,531,Pomodoro,42.36454,0,02113
Burgers,2.5,C5WbX71az-SdNlWt3HEy_g,-71.0884307,17,UBurger,42.3403356,0,02115
"Japanese, Cocktail Bars",3.5,DkhLETFI7Z49Kbsa6E1icA,-71.0969520423,395,Hojoko Boston,42.3451899451,0,02215
"Street Vendors, Chinese",2.0,1OfGiLhsOwvA9xHZ2F_KBA,-71.0730444992,18,Savory Food Truck,42.3366316892,0,02118
Sandwiches,2.0,ocOkQYZHkM23_8VzP3lt1Q,-71.1104269539,11,Food Court @ VA Hospital,42.3270045742,0,02130
"Caterers, Bakeries",5.0,goeF59HeYuNXNmhSG6nqZA,-71.1552897,13,The Vintage Tea & Cake Co,42.3752476,0,02478
Cafes,2.0,AMkEnLNBel92C0LhbTwBlw,-71.124193,1,InnoBreak Cafe,42.364084,0,02163
Mexican,2.5,tMnK-Pip_N_XiGo4wPjegQ,-71.1055755615,307,Montecristo Mexican Grill,42.3336133462,0,02115
Thai,4.0,QB4BEcqZbdAIFbYCLuDnSA,-71.16671933,70,Pineapple Thai cuisine,42.32328533,0,02467
"Irish, Music Venues, Pubs",4.0,2v0-gBcXethuNFT6rMGiRw,-71.0536599,432,Mr. Dooley's,42.35765,0,02109
Caribbean,4.0,UvMqg90fkrtW9YI6v01bBA,-71.09331,85,Flames Restaurant,42.28522,0,02126
"Latin American, Brazilian, Seafood",4.0,sUBnTXhtUcOpjrZhAhHzqQ,-71.093895,630,Muqueca Restaurant,42.372679,0,02141
Parks,4.5,vm_0GGlARLK5gjzgEnG8uw,-71.115817,2,Wheeler Park,42.364919,0,02138
"Indian, Vegan, Gluten-Free",4.0,m4qhmWNKfgbJ502Zo6uZlw,-71.0462572274,128,Tikkaway Fresh Indian Grill,42.3508883881,0,02210
Pizza,3.5,4uoc-mqHB7NNVUeVVAP41Q,-71.0389951,18,Pizza Shuttle,42.375747,0,02128
"Sandwiches, Coffee & Tea, Breakfast & Brunch",3.5,BAC-9njvQzG9KekYJ2cEWg,-71.1095796911,325,Darwin's,42.3749796167,0,02138
"Italian, Pizza, Wraps",4.5,hmIudx02njSQxomFgbGruw,-71.05461,327,Casa Razdora,42.35805,0,02109
Chinese,3.0,05hDm5BdZedOjIrXx3dokA,-71.125261,20,Souper Bowl,42.352365,0,02134
"Coffee & Tea, Breakfast & Brunch",3.5,H4YFi3JSp5DhLg5IdxaNGw,-71.153648,116,Cafe Mirror,42.348922,0,02135
"Banks & Credit Unions, Coffee & Tea",4.5,I0JjUle_W-9Ukv_bbd0NeA,-71.0619601,51,Capital One Café,42.3562641,0,02108
"Japanese, Sushi Bars, Asian Fusion",2.5,FcWudzn4O2Jq2TwgY7RA2Q,-71.1344448477,5,Matuya Asian Cuisine,42.3388174921,0,02446
"American (New), Bars, Breakfast & Brunch",3.0,KTYNXnLKrd-0sBvaVwUYSw,-71.08725,91,The Black Sheep Restaurant & Bar,42.362207,0,02142
"Cuban, Caribbean, Breakfast & Brunch",4.0,bAQrzuHzAugjaTxq6qwwKw,-71.1105299,480,El Oriental De Cuba,42.3206854,0,02130
"Fast Food, Burgers, Coffee & Tea",1.5,eKnAUsbCWLnKANr1C0FHLA,-71.131012,78,McDonald's,42.350683,0,02134
Chinese,3.0,7pV_lZa8FZz2_54BvwFywQ,-71.1064791,189,Beijing Cafe,42.3497496,0,02215
Coffee & Tea,3.5,jNwjyczufoa8cJ3O3i-N7w,-71.050707,54,Starbucks,42.363948,0,02110
"Ice Cream & Frozen Yogurt, Caterers, Custom Cakes",4.0,0EILBP5TxMPujUxkAfjAaA,-71.0789712,91,Ben & Jerry’s,42.3503033,0,02116
"Korean, Japanese, Asian Fusion",3.5,hlOpjI_5tcbMNBQWEANvxg,-71.1315180869,208,Hanmaru,42.3514386527,0,02134
Dim Sum,3.5,RtY75rfzEP19n9Ou4DSEHQ,-71.0605647548,1053,Winsor Dim Sum Café,42.3510118989,0,02111
Italian,4.0,uBXOc3uxpCSmd22P6LOeew,-71.0533,647,Mamma Maria,42.36409,0,02113
Wine Bars,4.5,DF7RTM13rH3ZCUk46EEwaA,-71.0983399,37,Rebel Rebel,42.38091,0,02143
"Noodles, Ramen",4.5,hdBsXpL9uAllcb2QsqzK7g,-71.084818,153,Red White,42.34883,0,02115
Salvadoran,4.0,39K3YQ8ZTUoJXMnpjtP4UA,-71.02813,33,Tu Metapan Restaurant,42.3787499,0,02128
Chicken Wings,4.0,o4BBtr4LDP2w11xBRYIa8A,-71.0812073,9,Crown Fried Chicken,42.3190384,0,02119
"Grocery, Italian, Delis",4.0,IB2u25TrT22WMwtqTXVmeQ,-71.0380000903,153,J Pace & Son,42.3482864462,0,02210
Latin American,3.0,d8B45fXc16UcMYXe7Hbuaw,-71.037933,14,La Terraza,42.375026,0,02128
"Parks, Swimming Pools, Beaches",3.5,FekacfLT0iJv6fn6T1xTOg,-71.0105412,37,Constitution Beach,42.385245,0,02128
Italian,4.0,gCsidBqhALICug9E2AphCw,-71.07076,452,Basile - Fine Italian Kitchen,42.3493148,0,02116
"Bakeries, Cafes",4.5,2F5L_0MZSPp5egi_yY0-yA,-71.08253,222,Haley House Bakery Café,42.33204,0,02119
"Sushi Bars, Seafood, Japanese",4.5,GfuDpypk9ekc8OsMRTMJ0A,-71.0555399,297,North End Fish Market,42.36392,0,02113
"Juice Bars & Smoothies, Salad, Acai Bowls",4.0,XG0NEOFrYyXWObPi7AfHyA,-71.0570988328,58,Mother Juice,42.3618656977,0,02108
Pizza,3.5,kTJuktitQAr_h0ImsFrAOg,-71.176166,375,Frank Pepe Pizzeria Napoletana - Chestnut Hill,42.321763,0,02467
"Cuban, Tapas/Small Plates, Bars",4.5,t4zpNjWmwKmPe4STXV0OYw,-71.1227,153,Gustazo Cuban Kitchen & Bar,42.39182,0,02140
"American (New), Cocktail Bars",4.0,Svxkliw-2cfHifMK8EvkIQ,-71.0793773,267,City Bar,42.348849,0,02116
"Breakfast & Brunch, Coffee & Tea, American (New)",3.0,vSBfyd4ghB0dEC69rwbc0g,-71.06721,6,Cafe 1010,42.32756,0,02118
Museums,4.0,aboJ52FaVuehtZup6XjIwQ,-71.1800115556,1,Historical Society of Watertown,42.368561849,0,02472
Turkish,4.0,25jq12iDKjHzyTFGHXtlFQ,-71.0648162,205,Ali Baba,42.3436126,0,02118
Beaches,3.5,FpxtBgfX1RtZ1AUvcEPfIw,-71.04581,7,Tenean Beach,42.29271,0,02124
"Diners, American (Traditional), Breakfast & Brunch",3.5,GHe641VggznYYFnD9RM8pQ,-71.113516,430,Zoe's,42.370826,0,02138
"Thai, Vegan, Bubble Tea",3.5,3DtTVTvn8FgmGuEfogXSmg,-71.0625566546,854,My Thai Vegan Cafe,42.3514659686,0,02111
Sandwiches,4.5,Xb92ROMBIobRwUqMLsh49g,-71.08889,88,Souper Roll Up Cafe,42.37201,0,02141
Pizza,3.0,f4zdDqGEoroOJ7pXbNADhA,-71.093584,207,Cafe 472,42.3487327,0,02215
Asian Fusion,3.5,kXCBLqxFHmYstXO3M6O15Q,-71.16289,54,Wok n Talk,42.34921,0,02135
Sushi Bars,4.5,C3-m3wOZfYp7tNqKyHUcGQ,-71.006882,82,Sunny Cafe,42.386834,0,02128
"Ice Cream & Frozen Yogurt, Food Trucks",5.0,yiE49WMm_O2RYmccj0Brrg,-71.0165828,1,MO's Ice Cream,42.4413758,0,02151
"Breakfast & Brunch, American (New), Specialty Food",3.5,cjrMqvRyqBEnEhqjACoanQ,-71.03788,253,The Paramount,42.335373,0,02127
"Thai, Salad, Noodles",3.0,84-VYasaVm6zCDw3T_LfDg,-71.1182038113,268,Spicies Cambridge,42.3723663533,0,02138
Spanish,3.5,_U29pRKPP1Lp6fhWJ-Sr5Q,-71.0797918,6,L&C Spanish Restaurant,42.296431,0,02124
Pizza,4.0,PGflcuE5wTchj-LfQWzfag,-71.15147,22,The Circle Pizza,42.33684,0,02135
Chinese,3.5,hHthBjajJOiTomzTfkHcag,-71.07401,33,Chinatown Express,42.27143,0,02126
"Thai, Vietnamese, Asian Fusion",4.0,h0JnvqMcK_G7CeBijxaVAA,-71.16598,60,Pho O Sha,42.3639,0,02472
"Turkish, Buffets",3.5,z4_Cw1bky-Xukqb-ZWK6Zg,-71.1195343,65,Anatolia Buffet and Kebab House,42.3334333,0,02445
"Mediterranean, Greek",3.5,NIdnO8KahLVwnaoTki_nFQ,-71.05839,55,Noon Mediterranean,42.35375,0,02110
"Desserts, Bakeries, Custom Cakes",3.0,G2DtKbQd9g84anwvDEiurA,-71.11306,10,Santia’s Bakery,42.30976,0,02130
"Bakeries, Waffles, Food Trucks",4.0,umSO7veSVjf8QflZOonmlA,-71.1145,503,Zinneken's Belgian Waffles - Harvard Square,42.3712,0,02138
"American (New), Cafes, Cocktail Bars",4.5,SmOX52W6mib-qT7GptyDVQ,-71.1131,299,Brassica Kitchen & Cafe,42.30026,0,02130
"Mexican, Latin American",4.5,XzuXSTuJqqMVdDbN2lUs7g,-71.1648,88,Teresa's Market,42.35023,0,02135
"Indian, Pakistani, Halal",3.0,Lz8FSSRB_r9X8RI2YEy97w,-71.121644,199,Curry House,42.341787,0,02446
"Caribbean, Bakeries, Hot Dogs",4.0,QML9IeyAcG0rVlFuTQ4d8g,-71.0720039,5,Auntie Vie's Restaurant,42.321338,0,02125
"Breakfast & Brunch, Cafes",3.5,H_nEq0mJ_tg6pVEFpqxNog,-71.082471,527,Thornton's,42.344394,0,02115
Indian,3.5,tQbYsSvTAIV6uzZfMvdI2A,-71.11127,307,Harvest of India,42.36964,0,02138
"Seafood, Bars",3.5,Ruq91rmQNweZ78TzKylQMg,-71.05688,2819,Union Oyster House,42.36126,0,02108
Museums,1.0,4Nt9W1xRBxsiWblxHuHTyQ,-71.1182199,1,Harvard Collections Museum Store,42.37299,0,02138
"Italian, American (New)",4.5,2XoPo7BcS4AQQAnsYp5Jhg,-71.1092199,272,Pammy's,42.36847,0,02139
"Donuts, Coffee & Tea",2.0,rgbuQP8Gdxzb36rcTGFVdQ,-71.1200052949,5,Dunkin',42.2670705285,0,02136
"Vegetarian, Salad",3.5,52KjelpMBgWEewcp5uh8zg,-71.05407,18,sweetgreen,42.35614,0,02110
Coffee & Tea,4.0,UNWc7b0bte0LoCU2xsRGyA,-71.1196151,312,Simon's Coffee Shop,42.3842878,0,02138
"Barbeque, Szechuan",4.0,z2A6Tf_3Z-sclKBSViYbsw,-71.060951,28,Friendship BBQ,42.351627,0,02111
"Japanese, Sushi Bars",4.0,1JHyHC_guUaVwTi3m4Vu5g,-71.062501,300,Zen Japanese Grill & Sushi Bar,42.358124,0,02108
"Kosher, Chinese",2.5,S_Evc3OfMv2QnXR8p39Fiw,-71.12723,10,Kosher Wok,42.3457099,0,02446
"Donuts, Coffee & Tea",2.5,yI-D2STGcoQl3044_qbt6w,-71.0345708,24,Dunkin',42.280333,0,02171
"Seafood, Sandwiches",4.5,T5_3LoIuOnilA7Z5sdfGJA,-71.11381,831,Alive & Kicking Lobsters,42.36267,0,02139
